# 01-overview.sch:
# --------------------------------------------

# 02-pulprog.sch:
# --------------------------------------------

# 03-mcu-core.sch:
# --------------------------------------------
"RF01","SMD_SIMPLE 60 30","P14.3KHCT-ND"
"RF02","SMD_SIMPLE 60 30","P15.4KHCT-ND"
"RF03","SMD_SIMPLE 60 30","P45.3KHCT-ND"
"RF04","SMD_SIMPLE 60 30","P5.49KHCT-ND"
"RF05","SMD_SIMPLE 60 30","P6.04KHCT-ND"
"RF06","SMD_SIMPLE 60 30","P17.4KHCT-ND"
"U16","TSSOP14","OP462HRUZ-REELCT-ND"

# 16-asc-fil-2of2.sch:
# --------------------------------------------
"C23","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C24","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C25","SMD_SIMPLE 80 50","PCF1177CT-ND"
"C26","SMD_SIMPLE 80 50","PCF1177CT-ND"
"RF07","SMD_SIMPLE 60 30","P13.3KHCT-ND"
"RF08","SMD_SIMPLE 60 30","P5.23KHCT-ND"
"RF09","SMD_SIMPLE 60 30","P232KHCT-ND"
"RF10","SMD_SIMPLE 60 30","P2.00KHCT-ND"
"RF11","SMD_SIMPLE 60 30","P732HCT-ND"
"RF12","SMD_SIMPLE 60 30","P34.8KHCT-ND"

# 17-adc.sch:
# --------------------------------------------
"C27","SMD_SIMPLE 80 50","PCF1126CT-ND"
"C28","SMD_SIMPLE 80 50","PCF1177CT-ND"
"CB42","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB43","SMD_POLAR 80 50","511-1683-1-ND"
"CB44","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB45","SMD_POLAR 80 50","511-1683-1-ND"
"CB46","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB47","SMD_POLAR 80 50","511-1683-1-ND"
"L05","SMD_SIMPLE 60 30","490-1037-1-ND"
"R39","SMD_SIMPLE 60 30","P10KDBCT-ND"
"R40","SMD_SIMPLE 60 30","P10KDBCT-ND"
"R41","SMD_SIMPLE 60 30","P49.9DBCT-ND"
"R42","SMD_SIMPLE 60 30","P10.0KHCT-ND"
"U17","SOT26","ADA4841-1YRJZ-R7CT-ND"
"U18","SOT26","AD7680ARJZ-REEL7CT-ND"

# 18-dac.sch:
# --------------------------------------------
"C29","SMD_SIMPLE 60 30","490-5307-1-ND"
"CB48","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB49","SMD_POLAR 80 50","511-1683-1-ND"
"CB50","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB51","SMD_POLAR 80 50","511-1683-1-ND"
"CB52","SMD_SIMPLE 60 30","490-5307-1-ND"
"U19","TSSOP24_EP","AD5752RBREZ-ND"
"U20","SO8","ADR4520BRZ-ND"

# 19-buf-shim.sch:
# --------------------------------------------
"C30","SMD_SIMPLE 60 30","445-2664-1-ND"
"CB53","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB54","SMD_POLAR 80 50","511-1683-1-ND"
"CB55","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB56","SMD_POLAR 80 50","511-1683-1-ND"
"D06","SOT23","BAS40-04-V-GS08CT-ND"
"LJ01","BNC_LAY","A97555-ND"
"R43","SMD_SIMPLE 60 30","P0.0GCT-ND"
"R44","SMD_SIMPLE 60 30","P1.00MHCT-ND"
"R45","SMD_SIMPLE 60 30","P715DBCT-ND"
"U21","SO8","LT1206CS8#PBF-ND"

# 20-buf-tx.sch:
# --------------------------------------------
"CB57","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB58","SMD_POLAR 80 50","511-1683-1-ND"
"CB59","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB60","SMD_POLAR 80 50","511-1683-1-ND"
"D07","SOT23","BAS40-04-V-GS08CT-ND"
"LJ02","BNC_LAY","A97555-ND"
"R46","SMD_SIMPLE 60 30","P0.0GCT-ND"
"R47","SMD_SIMPLE 60 30","P1.00MHCT-ND"
"R48","SMD_SIMPLE 60 30","P715DBCT-ND"
"U22","LT1210-DDPAK7","LT1210CR#PBF-ND"

# 21-pol.sch:
# --------------------------------------------
"CB61","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB62","SMD_SIMPLE 60 30","490-1532-1-ND"
"CB63","SMD_POLAR 80 50","511-1683-1-ND"
"D08","DO214AB","S5GC-FDICT-ND"
"D09","DO214AB","SMDJ45ACT-ND"
"Q01","DPAK","IRLR024NPBFCT-ND"
"R49","SMD_SIMPLE 60 30","P10.0KHCT-ND"
"R50","SMD_SIMPLE 60 30","P33.2HCT-ND"
"R51","SMD_SIMPLE 60 30","P1.00KHCT-ND"
"U23","SOT25","FAN3111ESXCT-ND"

# 22-relay.sch:
# --------------------------------------------
"D10","SOD323","SD101AWSTPMSCT-ND"
"K01","Omron-G6A2","Z123-ND"
"LJ03","BNC_LAY","A97555-ND"
"Q02","SOT23","FDN327NCT-ND"
"R52","SMD_SIMPLE 60 30","P10.0KHCT-ND"

# 23-leds.sch:
# --------------------------------------------
"DL1","SMD_POLAR 60 30","160-1828-1-ND"
"DL2","SMD_POLAR 60 30","160-1828-1-ND"
"DL3","SMD_POLAR 60 30","160-1828-1-ND"
"DL4","SMD_POLAR 60 30","160-1828-1-ND"
"DL5","SMD_POLAR 60 30","160-1828-1-ND"
"DL6","SMD_POLAR 60 30","160-1828-1-ND"
"DL7","SMD_POLAR 60 30","160-1828-1-ND"
"DL8","SMD_POLAR 60 30","160-1828-1-ND"
"RL1","SMD_SIMPLE 60 30","P604HCT-ND"
"RL2","SMD_SIMPLE 60 30","P604HCT-ND"
"RL3","SMD_SIMPLE 60 30","P604HCT-ND"
"RL4","SMD_SIMPLE 60 30","P604HCT-ND"
"RL5","SMD_SIMPLE 60 30","P604HCT-ND"
"RL6","SMD_SIMPLE 60 30","P604HCT-ND"
"RL7","SMD_SIMPLE 60 30","P604HCT-ND"
"RL8","SMD_SIMPLE 60 30","P604HCT-ND"

